所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L07.txt,正常,1.365,-0.9,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L08.txt,正常,1.125,-0.84,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L09.txt,正常,0.645,-0.6,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L10.txt,正常,0.27,-0.06,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L11.txt,正常,1.44,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L12.txt,正常,0.255,-1.005,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L13.txt,正常,0.765,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L14.txt,正常,0.03,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L15.txt,正常,0.735,-1.065,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R00.txt,正常,1.215,-1.275,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R01.txt,正常,0.99,-1.125,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R02.txt,正常,0.9,-1.095,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R03.txt,正常,0.75,-1.095,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R04.txt,正常,0.72,-0.24,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R05.txt,正常,1.14,-0.525,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R06.txt,正常,0.39,-0.81,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R07.txt,正常,1.095,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R08.txt,正常,1.095,-1.365,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R09.txt,正常,0.735,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R10.txt,正常,0.075,-0.075,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R11.txt,正常,1.035,-1.26,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R12.txt,正常,1.485,-0.45,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R13.txt,正常,0.51,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R14.txt,正常,0.915,-0.93,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_R15.txt,正常,1.185,-1.5,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L00.txt,正常,0.555,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L01.txt,正常,0.585,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L02.txt,正常,0.855,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L03.txt,正常,1.095,-1.365,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L04.txt,正常,1.005,-0.99,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L05.txt,正常,0.585,-1.26,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L06.txt,正常,0.84,-0.03,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L07.txt,正常,1.185,-1.305,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L08.txt,正常,0.24,-0.09,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L09.txt,正常,0.375,-1.395,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L10.txt,正常,1.02,-0.315,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L11.txt,正常,1.065,-0.99,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L12.txt,正常,0.945,-1.005,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L13.txt,正常,0.975,-1.485,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L14.txt,正常,0.18,-0.495,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_L15.txt,正常,0.825,-0.795,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_R00.txt,正常,1.365,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00110_BL_R01.txt,正常,0.735,-0.45,404
